train_acc,train_loss,val_acc,val_loss
0.03812631578947368,4.2878866,0.0596,4.032188
0.07157894736842105,3.9709756,0.0832,3.8525207
0.10553684210526318,3.7720368,0.1096,3.815043
0.1418105263157895,3.5664864,0.18799999999999997,3.3418877
0.18092631578947369,3.3620996,0.1864,3.3408456
0.21311578947368423,3.2004914,0.21760000000000002,3.1104548
0.2461894736842105,3.0127335,0.2904,2.8203247
0.27692631578947374,2.85209,0.2484,3.0210464
0.3010315789473684,2.7118587,0.33159999999999995,2.5830195
0.3304842105263158,2.5757625,0.3532,2.4836848
0.3479368421052631,2.482757,0.336,2.6647046
0.3709473684210526,2.376323,0.4064,2.274036
0.3887368421052631,2.2917295,0.3728,2.4029295
0.40244210526315793,2.2292254,0.35800000000000004,2.5046132
0.42463157894736847,2.1454058,0.43320000000000003,2.0768723
0.43027368421052636,2.095803,0.37400000000000005,2.4046803
0.4412421052631578,2.042371,0.45400000000000007,2.011584
0.4598315789473685,1.9631815,0.4572,2.0124102
0.4672421052631579,1.9348974,0.39239999999999997,2.396962
0.4832421052631578,1.8742903,0.49479999999999996,1.8759304
0.4932,1.834819,0.4628,1.9918338
0.4952,1.8100709,0.48200000000000004,1.9054674
0.5112842105263158,1.7460986,0.5276000000000001,1.7875016
0.5157263157894737,1.7300228,0.4092,2.331614
0.5209894736842106,1.702054,0.5219999999999999,1.7671063
0.5366315789473683,1.6429032,0.5156000000000001,1.7596964
0.5379578947368421,1.6454208,0.4664,2.0252516
0.5447578947368421,1.606102,0.5276,1.7057484
0.5562105263157896,1.5654174,0.502,1.8635598
0.5561684210526314,1.5686038,0.4744,1.9799492
0.5679789473684211,1.5160644,0.5564,1.6565335
0.5714526315789473,1.5046492,0.49079999999999996,1.9062757
0.5729052631578947,1.4967574,0.5344,1.7239572
0.5837684210526316,1.4528183,0.54,1.6748407
0.5828842105263158,1.4513631,0.4964,1.9205623
0.5929473684210526,1.4135671,0.5652,1.6090318
0.5943157894736842,1.4014523,0.5347999999999999,1.746588
0.5951157894736843,1.4106605,0.5152,1.838563
0.6054947368421053,1.3605055,0.574,1.5555645
0.6045684210526316,1.3660957,0.49560000000000004,1.9482749
0.6098105263157894,1.3466134,0.5596,1.5830126
0.6170315789473684,1.3167764,0.562,1.6046498
0.6144421052631579,1.329029,0.5232,1.8334208
0.6216842105263158,1.2979579,0.5776,1.5368533
0.6278947368421053,1.2766095,0.55,1.7220247
0.6245263157894736,1.2819202,0.5464,1.7309713
0.6360842105263158,1.246277,0.5892000000000001,1.5141916
0.6333894736842105,1.2499998,0.5064,1.9377217
0.6370947368421053,1.2426182,0.5883999999999999,1.5551602
0.6439999999999999,1.2136295,0.5732,1.5512978
0.644,1.2167028,0.5359999999999999,1.7882375
0.6473894736842105,1.1948454,0.5780000000000001,1.5356216
0.6530105263157894,1.1822715,0.5508,1.7248139
0.6510736842105265,1.1899825,0.5484,1.736707
0.6579157894736842,1.1574782,0.5928,1.514406
0.6586526315789474,1.1626132,0.518,1.9088693
0.6594105263157896,1.1516705,0.5804,1.5758452
0.6673052631578946,1.1231676,0.5836,1.5248643
0.6617894736842105,1.1426138,0.5532,1.7486774
0.6672631578947367,1.123273,0.5976,1.5116483
0.6729263157894737,1.1038338,0.5539999999999999,1.69207
0.6686315789473684,1.1139492,0.5504,1.747192
0.6753684210526315,1.0897164,0.6015999999999999,1.485
0.6740842105263156,1.093587,0.5416,1.9218647
0.6802947368421053,1.0765643,0.5896,1.5444903
0.6845052631578947,1.0563585,0.5871999999999999,1.5462546
0.6810736842105263,1.0683596,0.5524,1.7793809
0.6866736842105262,1.0512438,0.5980000000000001,1.5202831
0.6864210526315788,1.0396395,0.562,1.7205962
0.6870526315789475,1.0401932,0.5828,1.6084619
0.694778947368421,1.0209746,0.6144,1.4831673
0.6945263157894737,1.0202514,0.5524,1.7376972
0.6924210526315789,1.0265087,0.6004,1.5121431
0.6975368421052632,0.99917465,0.5992000000000001,1.5172486
0.6965894736842105,1.0118613,0.5092,2.0302572
0.7014315789473684,0.98973155,0.6036,1.4850734
0.7040421052631579,0.9810343,0.5708,1.6531999
0.7031368421052632,0.9900058,0.5676,1.6816956
0.7062736842105264,0.9641574,0.6008,1.4899111
0.7061473684210525,0.9674119,0.5552,1.8079195
0.7054105263157896,0.97297746,0.5868,1.5787545
0.7119578947368421,0.95115507,0.606,1.4757353
0.7103578947368423,0.95858,0.5372,1.9127585
0.7146947368421053,0.9416698,0.6043999999999999,1.5033206
0.7160631578947368,0.9316305,0.576,1.6740448
0.7122315789473685,0.9340496,0.5744,1.7191384
0.7208631578947368,0.92034763,0.5936,1.5038431
0.7189684210526316,0.92258716,0.5632,1.8273249
0.7209684210526315,0.9190751,0.5856,1.5649773
0.7268842105263158,0.89956725,0.5964,1.5759752
0.7217052631578947,0.91504765,0.5344,1.9467391
0.7246947368421053,0.89961755,0.6004,1.530177
0.726021052631579,0.8909354,0.5648000000000001,1.7296937
0.7225052631578948,0.9049653,0.5868,1.6472445
0.7302526315789473,0.8800637,0.606,1.509002
0.7330736842105263,0.87379664,0.5688,1.7297561
0.7303157894736841,0.8855995,0.6028,1.582695
0.7376421052631579,0.86044544,0.6016,1.5532846
0.7312631578947368,0.8777646,0.5456,1.8566275
0.7324842105263158,0.8653234,0.6048,1.5705307
